NR,Rolle,Firma,Typ,Aussage,Cluster,Beschreibung,,,,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"Yeah, so we use the enterprise data model, not necessarily the data models, but the enterprise data model as a way to represent in data the organizational key activities. So we built a data model, enterprise data model that was fit for purpose for the brewery business, realizing that in our company, we have different business models. So we built a data model, shall we say, for the main business model.

Now, within the enterprise data model, we co-developed with architects and with business leaders and data owners in the business. We were looking to abstract at level of entities. We had about 300 data entities with the critical attributes, and we are abstracting the key
relationship among entities.

...And that was agnostic from any IT infrastructure. We were then able to map all our IT infrastructure to such entities and relationships and attributes.

But essentially, we wanted to make sure that we were abstracting data at enterprise level. So we would have a conceptual model that was built by the architects. That conceptual enterprise data model would be mapped to a logical data model. And then that would allow all the different database structures to be mapped to that logical level. And then from an IT perspective, we would have an orchestration layer of different APIs. So essentially, you would have an application that would push data in a certain format. And then we could fetch data from other applications in the same format. So if you wish, it was effectively a translation layer that would enable processes across the different applications.

And then we could fetch data from other applications in the same format. So if you wish, it was effectively a translation layer that would enable processes across the different applications. So this was part of a big re-engineering of the IT landscape of our company and a simplification of the IT landscape with essentially three levels in the landscape. One would be the ERPs at the center with one structure. Before, we had 35 ERPs with different structures. Then we had a set of critical business applications, again, certified from things like Microsoft Dynamics to capture consumer data to Blue Yonder for planning, etc. And then in the outer layer, you would have applications, so apps and all the e-commerce layer. So all the data flows were orchestrated through the orchestration layer. And the enterprise data model was the way to map all these data flows. So everyone was kind of translated at the logical level, but then mapped back. And then that mapping was in JSON files, etc",Use Case,Systematische Modellierung von Daten bzw. Data Assets,,,,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"Now, I stop here because the enterprise data model is something that you need depending on the architecture that you have. So for instance, if you were a company with only two business applications, shall we say that you have an ERP and a CRM, then in this case, I would say that a point-to-point integration is perfectly fine. So I think I would tend to think that you need an enterprise data model when you have a complex ecosystem of applications .",Implementierungsgrund,-,,,,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"...And maybe taking one step back, the reason why we did an enterprise data model in the first place was that our company had a very fragmented IT landscape. So we had over 3,500 different applications. And those applications, not necessarily were talking to each other. In many cases, they would be point-to-point integrations I'm not sure if you're familiar with IT, but it means that you have a direct integration of one application to the other. But collectively, if you also look at our aspirations in e-commerce, it was really difficult, for example, for customer data to travel across different applications.",Implementierungsgrund,-,,,,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"And usually, you have troubles in processes because one application doesn't understand the other, so you have a lot of defects. But that would be the case in which I think that I would use an enterprise data model and I would advise to use an enterprise data model. So for us, in our case, we had what's called touchless processes. We wanted to reduce manual work because we had lots of people actually bringing data from one system to the other and we found that this was extremely inefficient. So it worked really well.",Implementierungsgrund,-,,,,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"The other thing that for me is clear is also the process layer. So an enterprise data model is very important for this process layer .

So for the enterprise data model, the main use case is touchless processes when you have a complex IT landscape. Yeah? So assuming, as we said, if we have an IT landscape that is comprising more than, shall we say, three applications, five, ten, tens of applications. And then when most of these applications pertain to the same entities, i.e. customer, product, then I think that enterprise data, and if you have an aspiration to have this almost like real-time orchestration across the different application.",Use Case,Systematische Modellierung von Daten bzw. Data Assets,,,,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"So you need a catalog because first of all, you need to understand your data sources, where they're coming from. And that was the initial and original use case of Collibra. At the same time, as we were standardizing and doing this EDM, we took the opportunity to ensure that we would have a clear classification of all our data entities with all the definitions, all the business rules. And so that in Collibra, we will be able to move from the entities in the data model to the data sources underpinning those entities and create almost like this data store in which you can ask for data and you know where it's coming from. And then when we were in the process of also having data quality and observability linked to that process, so you would have an end-to-end view of your data sets.",Use Case,Business Glossary,,,,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"Because often in organization, you have the same KPI used in different ways with different meanings. So for instance, revenue is called revenue, but every department calculates in a different way. And that creates quite a lot of confusion. I think having in Collibra the KPI library with clear definitions, like this is the official definition and all the reports with revenue, they use the same methodology, the same data sets, the same methodology, for instance, in time, you know, when does the month start and end, etc. It was extremely useful because it started to compare things and make things much more comparable, whilst before each function would always have big discussions and disagreements on, okay, this is the right number, this is the wrong number, right? So I think I would say that was an incredible success in terms of having that catalog of KPIs.",Use Case,Datenqualitätsregeln,,,,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"And two, if you have structures of application, because you have an enterprise data model to which you can map any structure of application. So you become less reliant on a specific vendor. that aspiration of plug and play, so you want to be less dependent on specific structures of application, because you have an enterprise data model to which you can map any structure of application. So you become less reliant on a specific vendor.",Use Case,Systematische Modellierung von Daten bzw. Data Assets,,,,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story," The second, sort of really important for us, was a business data owner would approve definition. So if you think of, okay, first of all, it would approve the enterprise data model, it would approve the definition, that would happen in Collibra.

So it was a workflow management, whether we had the record of all the agreements and approvals that we had, but also it was the place in which we then approved changes, right? It's okay, the business leader has agreed to that change, so that would be almost like an audit in the system. We were then also using it to have a, if you wish, a more easier to understand version of the enterprise data model, because we had our version, but it was very like geeky, but there was also the business owners could see also the business, could see the enterprise data model through Collibra, could understand the definitions, could see the different relationships.",Use Case,Berechtigungs- und Zugangskontrollmanagement,,,,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"And then finally, we were then using it as a marketplace. So for instance, you have one specific entity, in this case we said customer, you can see all the golden sources of data entities, you could request access to that data source, if you were a data scientist, almost like as a store, that was integrated. So that was the way in which we used that.",Use Case,Data Marketplace,,,,,,,
