NR,Rolle,Firma,Typ,Aussage,Cluster,Beschreibung,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"So everyone was kind of translated at the logical level, but then mapped back. And then that
mapping was in JSON files, etc. The EDM would allow that constant translation across different systems. ",Interoperabilität,"Interoperabilität --> gemeinsames Datenverständnis, gleiche Datensprache",,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"EDM helps to reduce the complexity in ecosystem of applications: usually you have the entity, shall we say customer or product, you need to mapacross multiple applications. And usually, you have troubles in processes because one application doesn't understand the other, so you have a lot of defects. But that would be the case in which I think that I would use an enterprise data model and I would advise to use an enterprise data model",Reduktion Komplexität ,Interoperabilität --> Reduktion Komplexität ,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,We wanted to reduce manual work because we had lots of people actually bringing data from one system to the other and we found that this was extremely inefficient. So it worked really well.,Reduktion Aufwand,-,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"… you need a Catalog because first of all, you need to understand your data sources, where they're coming from. And that was the initial and original use case of Collibra",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),-,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"The other really important part of the data catalog is, you know, first of all, from the data source...to make sure that at entity level you have all the definitions
We took the opportunity to ensure that we would have a clear classification of all our data entities with all the definitions, all the business rules.It was extremely useful because it started to compare things and make things much more comparable, whilst before each function would always have big discussions and disagreements on, okay, this is the right number, this is the wrong number, right? So I think I would say that was an incredible success in terms of having that catalog of KPIs.

Collibra was the main reference to remind us what were the different parts, but most importantly, okay, for instance, this is the relationship of customer, this is how we define customer, these are all the attributes of customers and the entity customer relates to all these other entities

if you dont implement: your data is incorrect and whatever, because you're mixing apple and orange. So you might as well not do it. Because if you have incorrect data, you might as well not use it","Gemeinsames Datenverständnis, einheitliche Terminologie & Datenvergleichbarkeit","Gemeinsames Datenverständnis gleiche Datensprache & Datenvergleichbarkeit -->  weniger Misverständnisse --> Reduktion Fehleranfälligkeit --> weniger Nachbesserungen --> Reduktion Aufwand
",,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"And two, if you have that aspiration of plug and play, so you want to be less dependent on specific structures of application, because you have an enterprise data model to which you can map any structure of application. (EDM) --> it allows you to be much more agile inchanging a software provider --> So it gives you, in the long term, a potential commercial advantage, because you're not locked into a specific system.

Commercial software has a specific structure, or shall we say model, in terms of, the way that customer is set up, the relationship of customer, etc. These models are proprietary of the software, which means that once you have a lot of processes built on a certain provider,it's really difficult if you want to change provider, because it means quite a lot of systemic change happens. Whilst if you have an enterprise data model, in theory, it's easier, because you can take any software and then map it. So you are not making any changes in the structure of the software itself. So you are a bit more agile in that sense. So if you decide that your main CRM systems, you have a better commercial agreement and you want to switch it, in the process of switching, it's much easier, rather than kind of setting up the structure of the database that reflects your processes.",Anbieterunabhängigkeit durch Technologische Entkopplung,-,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"And you need to have those workflows documented, because for instance, for even changes on the data model, if you think that all your processes depend on that, if you don't have an audit trail, who decided what, by when, why, and if everything just flies over in emails, you can imagine that this chaos very, very soon. So in the case of Collibra, we had a very light touch business model, which we had, sorry, the business case, the same with data quality, etc. We said, look, we said that we need to have a data foundation, there are some costs associated with it, that's it, we just need to do it.",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),-,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"..and then there's an element, which is then the value of AI. So now, we're starting to measure the value that you generate with AI. And again, that value, if data is not good, is not generated.",Potenzial für AI,-,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"...the business owners could see also the business, could see the enterprise data model through Collibra, could understand the definitions, could see the different relationships. ",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),-,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"...And you see how much time data scientists are wasting, how much time is wasted on deciding.",Reduktion Aufwand,-,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,...because you need to have certain controls also for regulatory purpose,Verbesserung für Regulatorik und Compliance,-,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"So it's clear, for instance, let's assume I was working for a manufacturer, FMCG manufacturer, spent quite a lot in advertising and the big decision between above the line and below the line. These are really big capital decisions. Now, if you have poor data, you get the wrong decision.",Bessere Entscheidungen durch bessere Daten,-,,
11,Experte,Collibra,EDM / EDC Anbieter," ...um klare, standardisierte Begriffe zu schaffen.","Gemeinsames Datenverständnis, einheitliche Terminologie & Datenvergleichbarkeit",-,,
11,Experte,Collibra,EDM / EDC Anbieter,"Collibra hilft, kryptische oder technisch benannte Felder durch kontextuelle Beschreibungen verständlich zu machen, was die Dateninterpretation erheblich erleichtert.",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),-,,
11,Experte,Collibra,EDM / EDC Anbieter,"Mit der technischen Lineage-Funktion in Collibra wird sichtbar gemacht, wie Daten innerhalb des Unternehmenssystemflusses weitergegeben und transformiert werden.",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),-,,
11,Experte,Collibra,EDM / EDC Anbieter,"Collibra bietet die Möglichkeit, Datenflüsse zwischen Datenbanken – etwa durch ETL-Prozesse – transparent nachzuvollziehen und als Metadaten abzubilden.",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),-,,
11,Experte,Collibra,EDM / EDC Anbieter,"Collibra abstrahiert technische Metadaten so, dass auch fachliche Nutzer – wie Vorstände oder Analysten – schnell nachvollziehen können, woher die Zahlen in einem Report stammen.",Reduktion Aufwand,-,,
11,Experte,Collibra,EDM / EDC Anbieter,"Durch die dokumentierte Herkunft und Qualität der Daten schafft Collibra Vertrauen in Reports, da Nutzer deren Ursprung und Belastbarkeit transparent nachvollziehen können.",Vertrauen in Daten,-,,
11,Experte,Collibra,EDM / EDC Anbieter,"Collibra unterstützt beim Data Discovery, indem es leistungsfähige Suchfunktionen mit semantischer Verknüpfung über Business Glossary und Datenkatalog kombiniert,
sodass Nutzer gezielt relevante Datenpakete identifizieren und kontextuell einordnen können.",Datenauffindbarkeit,-,,
11,Experte,Collibra,EDM / EDC Anbieter,Hilft policies zu managen und wiederum Compliance einzuhalten,Verbesserung für Regulatorik und Compliance,-,,
11,Experte,Collibra,EDM / EDC Anbieter,"Durch Data Quality Regeln erkennt man Datenprobleme, welche wieder auf ein Produktionsproblem schliessen lassen",Verbesserung Datenqualität ,"Datenqualitätsregeln → Erkennung von Datenproblemen → Aufdeckung operativer/technischer Probleme
",,
11,Experte,Collibra,EDM / EDC Anbieter,"Data Cataloging Tool hilft automatisiert festzustellen, welche Tabellen mit welchen Infos in diesen Lake geschmissen wurden",Datenauffindbarkeit,-,,
11,Experte,Collibra,EDM / EDC Anbieter,"Und dann sind wir wieder bei dem Thema, wie kann ich jetzt automatisiert feststellen, was da drinnen ist. Und da hilft natürlich dann so ein Data Cataloging Tool auch mit, dass ich eben zumindest mal dann aus diesen verschiedensten Bereichen in diesen verschiedensten Tabellen, das ist es ja in der Regel, muss nicht, aber meistens sind es Tabellen, meine echnischen Datenmodelle abziehe, einschließlich der Beschreibungen und dann halt irgendwie versuche da dann eben wieder Semantik. Es dreht sich alles am Ende immer um diese Semantik, da eben Semantik dran zu bringen, dass Leute auch Daten finden.",Know Your Data (bessere Übersicht) ,-,,
11,Experte,Collibra,EDM / EDC Anbieter,"Collibra steigert die Produktivität im Datenmanagement durch Automatisierung, was besonders bei großen Teams zu enormen Zeit- und Kosteneinsparungen führt.",Reduktion Aufwand,-,,
11,Experte,Collibra,EDM / EDC Anbieter,"Täglich irgendwo Datenbreaches. Und wenn ich dann eben auch ganz schnell bin, weil ich die Prozesse automatisiert habe, sowas wieder einzufangen, dann kann ich, also erstens
 kann ich die Eingriffswahrscheinlichkeit von Daten, von Privacy Security Problemen reduzieren. Und zweitens kann ich auch den Impact reduzieren, wenn es passiert.",Verbesserung Data Governance,-,,
11,Experte,Collibra,EDM / EDC Anbieter,"Collibra ermöglicht schnellere und effizientere Datenprozesse, was die Reaktionsfähigkeit des Unternehmens deutlich erhöht.",Effizienzssteigerung,-,,
11,Experte,Collibra,EDM / EDC Anbieter,"Dann, technische Lineage ist durchaus auch hier relevant, weil wenn ich sage, das sind so indirekte Effekte dann eher. Wenn ich also weiß, wo meine Daten herkommen und
wie sie zusammenlaufen und auch noch Transparenz über diese Transformationsregeln habe, dann kann ich natürlich auch besser die Datenqualität managen, als wenn das alles hier Blackbox ist und ich darauf vertrauen muss, dass die Daten in irgendeiner Tabelle richtig sind.",Nachvollziehbarkeit von Daten oder Änderungen (Interpretation),Nachvollziehbarkeit --> Vertrauen in Daten ,,
11,Experte,Collibra,EDM / EDC Anbieter,"Und was dann noch dazu kommt, dann hast du noch so einen Second-Order-Effekt drinnen. Wenn die Data Scientists eben mit weniger Aufwand und schneller sind, Dinge rauszuhauen, dann können die auch mehr machen. Du bist früher am Markt damit und du kannst auch viel mehr tun",Reduktion Aufwand,Reduktion Aufwand → Steigerung Business Value (Time-to-Market & Output-Kapazität),,
31,Professor,IT Management,Univesität,"Also Harmonisierung über Stammdaten hinweg. Das ist, glaube ich, so ein interessantes, wichtiges Thema. Datenquellen überhaupt erstmal transparent zu machen. Das heißt, wo sind sie? Was für Daten gibt es? Was ist die Ontologie dahinter?",Datenauffindbarkeit,-,,
