NR,Rolle,Firma,Typ,Aussage,Cluster,Beschreibung
2,IT Projektleiter,Detailhandel,Externe Firma,"Am Anfang hast du ein Projektvorgehen, wenn wir es nicht haben. Dann kommst du auf eine Schätzung. Am Anfang hast du T-Shirts. Das sind Umsetzungskomplexität. Aber das ist noch nicht mit einem Dollarwert quantifizierbar. Dann hast du andere Integrations-Pattern. Du merkst, es ist viel einfacher, weniger Risiko. T-Shirts heisst es. Dann merkst du, dass du diesen Weg gehst. Aber da hast du noch keine konkreten
Werte hintendran. Es ist schwierig zu sagen. Ich kann dir jetzt keine Zahl nennen und sagen, hey wir haben x Millionen eingespart,
weil wir es nie wirklich konkret gemessen haben, weil wir keine Beweisschuld hatten.""",keine Hard Savings gemessen ,keine Beweisschuld darum nicht konkret gemessen
2,IT Projektleiter,Detailhandel,Externe Firma,"In vielen Unternehmen ist niemand explizit für Datenqualität verantwortlich. Dadurch entstehen sogenannte Hidden Costs – also versteckte Kosten, die durch fehlerhafte, unvollständige oder unklare Daten entstehen

Wenn man klare Rollen wie „Lead Data Owner“ einführt und diesen Personen die Verantwortung für bestimmte Datendomänen formell zuweist, wird Datenqualität zur echten Aufgabe mit Zuständigkeit. Wird zusätzlich messbar gemacht, wie gut die Qualität ist , kann man gezielt optimieren

""Hier gibt es Auswertungen zu Hidden-Costs of Data-Quality, die in die Bereiche 10-15% vom Umsatz
gehen. Da gibt es entsprechende Studien dazu. Und hier ist immer so mein Pitch, wenn wir nur schon 1% dieses Potenzial heben, dann sind
wir bei uns im Retail schon in Millionenumfelden unterweg""",Versteckte Kosten werden erst durch EDM und EDC ersichtlich,"10 - 15 % im Bereich vom Umsatz könnte verbessert werden (Studien zufolge) 

wenn man nur schon 1% verbessert von unnötigen Hidden Costs (bzw. ersichtlich macht und anpackkt), dann kann man im Retail Bereich Millionen sparen "
2,IT Projektleiter,Detailhandel,Externe Firma,„Adressdaten von der Post wurden sogar dreifach eingekauft. … Sobald man diese Data-Assets anfängt … Da hast du Immediate Cash-Out,Vermeidung teurer Daten-Duplikate ,Vermeidung von unnötigen Ausgaben für doppelte Daten
2,IT Projektleiter,Detailhandel,Externe Firma,"""Durch den Einsatz des Enterprise Data Models kann Denner die Kassensoftware schrittweise pro Filiale aktualisieren, ohne dass nachgelagerte Systeme davon betroffen sind. Die Umsysteme (z. B. Buchhaltung, Reporting) arbeiten weiterhin stabil und müssen nicht auf unterschiedliche Datenformate der alten und neuen Softwareversion angepasst werden. Das erhöht die Betriebssicherheit, reduziert den Integrationsaufwand und verhindert doppelte Entwicklungsarbeit – ein klarer Vorteil in Bezug auf Flexibilität, Skalierbarkeit und Kosten.

Umsatz ist ziemlich relevant bei einem Retailer. Da haben wirviele Abhängigkeiten. Das hätte zu Problemen geführt, dass wir diese Schema-Änderungen in
x Umsystemen hätten nachziehen müssen. Je nachdem, wie oft oder wie schnell. Dann hätten sie das merchen müssen.Dieses Merchen der zwei Versionen wird über den Event-Tab gewährleistet. Das ist schon ein
konkreter Mehrwert. Ansonsten hätten wir mit Point-to-Point-Integration sehr viele Komplexe lösen müssen.""",Reduktion Entwicklungskosten ,"EDM also das ist der reine Case, den ich vorhin erwähnt habe, wo
es jetzt darum geht, diese Kassensoftware Upgrade und halt Point-to-Point-Integrationen zu verhindern. Also da haben wir Savings im Bereich von Entwicklungsaufwänden, die ansonsten
anfallen würden."
2,IT Projektleiter,Detailhandel,Externe Firma,"Ja, also der nächste Schritt wäre wirklich, wir haben jetzt z.B. so verschiedene Prozessschritte in unserer Supply Chain, dass z.B. die Ware kommt beim Verteilzentrum an, das ist der Wareneingang, wenn der nicht gebucht werden kann, fallen gewisse Kosten an. Weil vielleicht, ich sage mal, der EAN-Code ist falsch, der Preis ist falsch, da gibt es diverse
Sachen, die falsch sein können. Dann wird die Ware vereinnahmt, die wird quasi im Zentrallager irgendwo eingelagert und da kann es passieren, dass z.B. das Mass falsch ist in den Stammdaten und darum kann es nicht in den vorgesehenen Lagerort eingebucht werden, weil zu klein Weil jeder Fehler im Prozess kostet, weil irgendwo etwas steht im Prozess.",Reduktion Fehlerkosten in operativen Prozessen,–
2,IT Projektleiter,Detailhandel,Externe Firma,„Wenn irgendwo ein Prozess blockiert ist … wir sehen die Anzahl Tickets … diese Prozessineffizienz hat uns 50 Franken gekostet … Hochrechnung haben wir noch nicht gemacht,Vermeidung unnötige Kosten durch Prozessineffizienzen ,50 Franken pro Fehler
13,Experte,Starburst,EDM / EDC Anbieter,"""We have astandard method for showing both publicly available as well as anonymized stories of
customers with the problem that they had, the solution that was proposed and the value thatthey realized both in terms of the business as well as like knowledge improvements""",Steigerung Wertschöpfung,–
13,Experte,Starburst,EDM / EDC Anbieter,"Und dafür ist ein Data Catalog sehr wichtig, weil er im Prinzip sagt, hier ist das Offizielle, die offizielle Version und dann kannst du die Governance so gestalten, dass du sagst, entweder
darf niemand eine zweite Variante davon schaffen oder jemand darf nur eine private zweiteVariante davon schaffen oder dritte Variante. Oder wenn eine öffentliche Variante geschaffen wird, muss es so klar dokumentiert werden, was ist was. Das ist eine sehr scharfe Anforderung an die Dokumentation, um genau diese Versionsprobleme zu vermeiden, die so unglaublich teuer sind.Das ist so wahnsinnig teuer",Kosteneinsparung durch einheitliche Daten,–
6,Data Manager,Versicherungsfirma,Externe Firma,"Aber im Durchschnitt kannst du wirklich davon sagen, Daten finden, verstehen, beantragen,
verarbeiten, alles hängt irgendwie dran. Du brauchst diese Informationen an einem Ort und
alles wird langsamer. Das kannst du jetzt hochrechnen in dem Sinne von Personenkosten mal
Tage. Ich glaube, da bist du bei relativ hohen Summen.",Reduktion Personalaufwand,–
6,Data Manager,Versicherungsfirma,Externe Firma,"beim Thema Datenprodukt, sagen wir, die Anforderung von Daten und Freigabe von Daten, teilweise von Wochen zu Stunden.“
--> Die Freigabe- und Bereitstellungszeit von Daten, z. B. für Dashboards, Analysen oder Datenprodukte, wird massiv verkürzt – von typischerweise mehreren Wochen auf wenige Stunde",Reduktion Suchaufwand,–
