NR,Rolle,Firma,Typ,Aussage,Cluster,Beschreibung,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"So for us, in our case, we had what's called touchless processes. We wanted to reduce manual work because we had lots of people actually bringing data from one system to the other and we found that this was extremely inefficient. So it worked really well. It was a big effort. I know many other companies have tried to do it and they quite didn't get
there. So I think we got to the end and we were quite happy with it. But it was a big, big, big effort indeed. (EDM)",Volle / Restliche Implementierung,"Es war ein sehr grosser Aufwand Daten vom einen System ins andere zu bringen, jedoch ist man jetzt glücklich so wie es ist.",
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"We had 80 operating companies with multiple languages, and in each of the operating companies, they already had their own definition. So it was quite big in terms of, we had to do the global one, but then we had to also check what were the differences of local and global.",Vorarbeit,Aufgrund unterschiedlicher Definitionen und Sprachen in den Gesellschaften musst eine einheitliche Definition erstellt werden und geprüft werden worin sich die globale Definition von der Lokalen unerscheidet,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"once you have the first implementation, for instance, then all the operating companies were coming with ideas of things that they wanted to improve, different workloads, different functionality that you had.",Weiterentwicklung nach der Implementierung ,Gesellschaften kommen mit Verbesserungsideen bezüglich Funktionalitäten und Auslastug ,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"And then once you have the initial implementation, then you almost like the tool becomes more and more important, you want to do more things with it.
And so that becomes, say, you then have a backlog and then you say, okay, every year we're going to spend X just on these changes. And then you keep on doing those changes.",Weiterentwicklung nach der Implementierung ,Planung der jährlichen Investitionen in neue Veränderungen nach erfolgreicher Implementierung ,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"It was the first step that took us some time. Going back, we already had Collibra in one
of the business units, i.e. the Netherlands, because the Netherlands was one of the
operating companies, but everything was in Dutch. And we couldn't use it because they had
different business models.",Pain Point,"Collibra war zwar schon implementiert in einer der Firmen, jedoch konnte man es aufgrund der unterschiedlichen Sprache und Geschäftsmodell nicht übernehmen",
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"So we had to start from scratch and do a global version. So that took us a while. And the
reason why it took us a while is not so much the implementation of the system, but then
you need to have the definitions.",Vorarbeit,"Das Unternehmen musste eine globale Definiton erarbeiten, bevor es mit einer unternehmensweiten Implemetierung beginnen konnte.",
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"So we had to start from scratch and do a global version. So that took us a while. And the
reason why it took us a while is not so much the implementation of the system, but then
you need to have the definitions.",Volle / Restliche Implementierung,"Implementation selbst brauchte nicht viel Zeit, mehr die Vorarbeit der globalen Definiton",
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"Because usually you don't have all
the definitions of all the entities, you don't have the data quality rules, you don't have the
list of all your critical reports, the business has not decided which are the critical reports,
what are the critical KPIs. So it took us a while to get to that base level.",Vorarbeit ,"Um überhaupt zur Implementierungsbasis zu kommen musste viel Vorarbeit geleistet werde, wie zum Beispiel kritische Reporte und KPI's identifizieren und Data Quality sicherstellen",
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"Organizing processes, definitely, because where there were none, we put some. And
that always takes some time.",Pain Point,"Der anspruchvollste Teil der Implementierung war die Prozessorganisierung, welche auch viel Zeit in Anspruch genommen hat",
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"Because, of course, globaler Brauereikonzern is not operating, there is no official language because it's a
Dutch company. Well, there is English, but then most operating companies are either in
Spanish or French or Osweili or any other. So then it was literally that understanding what
was already locally and what was the difference between English and the local was not a
small thing.",Pain Point,"Kommunikationssprache war nicht klar, da sehr viele unterschiedliche Sprachkulturen existierten",
