NR,Rolle,Firma,Typ,Aussage,Cluster,,,,,,,,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Ob man jetzt mit Daten schafft, ob man mit Robotik, Automatisierung arbeitet, diese Veränderung hin zu der digitalen Welt oder zu den
digitalen Möglichkeiten ist eigentlich keine technische oder die technischen Herausforderungen sind oft schon gelöst, sondern es ist
eigentlich eine kulturelle Herausforderung. Also man muss das Bewusstsein schaffen für den Nutzen, für die neuen Rollen,
die entstehen und das ist unterschiedlich. Oder man hat Nerds und Geeks in den untersten Reihen und man hat solche,
die das wirklich verstehen im Management oder auch im Gegenteil.",Kulturell,,,,,,,,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Sondern man muss tiefer gehen, man muss den Leuten beibringen, was sind Grundvoraussetzungen, was sind Funktionsweisen,
was sind Limitationen und aus dieser Erkenntnis heraus kommt dann auch die Erkenntnis, wie man eben strategisch an diesen
Themen arbeiten muss ",Kulturell,,,,,,,,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Die Kunst besteht ja darin, eine langfristige Vision, eine saubere Governance, Definitionen und ein Framework  zu haben, wo du das aufsetzen kannst und faktisch in den Organisationen arbeiten alle an verschiedenen Ecken und Enden. Das ist sehr aufwendig, das einzufangen.",Strukturell,,,,,,,,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Bei einer Implementierung braucht es Know-How und Schulungen. Ein gefährliches Beispiel wäre zum Beispiel, wenn meine Assistentin via ChatGPT persönlich oder sensitive Daten rausgibt aus dem Unternehmen und das nicht weiss.",Kulturell,,,,,,,,
2,IT Projektleiter,Detailhandel,Externe Firma,"Ein Unternehmen ist auf uns zugekommen und hat gefragt, wie wir es geschafft haben, dass die Geschäftsleitung den Data Catalog initiiert. Ihre Initiierung des Data Catalogs kam aus der IT heraus und wird als IT-Projekt verstanden. Bei uns hat das die Geschäftsleitung initiiert und es wird wirklich als Business-Projekt wahrgenommen. Das ist ein Riesenvorteil. ",Kulturell,,,,,,,,
13,Experte,Starburst,EDM / EDC Anbieter,"I think the biggest problems are trying to do everything without having a concrete use case and trying to solve everything and do perfect world scenarios. So you have both, unrealistic and loose expectations.",Operativ,,,,,,,,
14,Berater,Globale Beratungsfirma,Beratung,"The first problem that arises when implementing a Data Catalog I would say is the speed of progress. We might want to progress at a certain pace, which might not gel with the client. They might want to take it slower. But that's where the limited resources come into play. And that's where the ROI also stems from. Because limited resources are limited, you look at spending them wisely and measuring the ROI.",Operativ,,,,,,,,
14,Berater,Globale Beratungsfirma,Beratung,"So while you're trying to figure out the lineage, the lineage is changing. So you might figure out it's coming from this system right now, but in the future, it might be a different system because they're planning a migration. ",Technisch,,,,,,,,
14,Berater,Globale Beratungsfirma,Beratung,"But then there's also the human aspect of it, getting people together, getting people to agree on all of these things, to come to a point where they're okay with what's being populated in the data catalog in the first place. That is really where the human aspect of data management comes in, and a bit of company politics and culture as well. So people might eventually just drag on the meetings, they might not come to a conclusion at the end of the committee meeting or any such meeting, so you might not end up populating the data catalog in the first place. So at the end of the day, it is just a tool you still need to get the buy-in from your organization, you need to get everyone on the same page before you can populate it. But if you can manage that, then it's certainly, in my opinion, something that you can definitely leverage to solve a lot of these issues.",Kulturell,,,,,,,,
14,Berater,Globale Beratungsfirma,Beratung,"Data Literacy is definitely one of the risks. So if you don't have stakeholders who are knowledgeable in the solutions that you're posing to them, then of course bringing them up to speed, convincing them will take that much longer. But what we see in clients even more often than that is willingness to take ownership of certain pieces of work or data attributes or elements, saying that, okay, because data flows from one end of the pipeline to the other, it's a bit ambiguous who owns which piece, so it's not as cut and dry. And defining the ownership for that gets tricky. So how do you determine this sort of an ownership? And this, at the end of the day, is not just data governance, but also organizational culture. So navigating these intricacies, I think, is one of the most biggest challenges that we see.",Strukturell,,,,,,,,
14,Berater,Globale Beratungsfirma,Beratung,"But how we tackle this is that we tackle it in work packages. So instead of coming in and saying that we'll develop an entire data catalog, business glossary, data dictionary, we'll set up your entire architecture for you. It'll be a 10 million euro project. No. What we do is we really take a very narrow scope and say, okay, let's take a credit risk model. Within the credit risk model, let's take the probability of default component.",Operativ,,,,,,,,
19,Data Product Owner,Globale Bank,Externe Firma,"In many organizations, there is a common tendency to merge data management responsibilities with IT operations, assuming that IT should handle both technology and data. In my view, this is a strategic mistake. Data is not just a technical asset – it is a key enabler for improving business processes and supporting decision-making.",Organisationell,,,,,,,,
19,Data Product Owner,Globale Bank,Externe Firma,"Introducing a common data language and governance model often requires a deep shift in mindset, particularly in organizations with strong data silos.",Kulturell,,,,,,,,
19,Data Product Owner,Globale Bank,Externe Firma,"Without clear executive support and assigned data stewards, the models risk becoming shelfware – built but unused.",Operativ,,,,,,,,
