NR,Rolle,Firma,Typ,Aussage,Cluster,Beschreibung,,,,,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Grundsätzlich sieht der Interviewpartner die Cost of Doing Nothing, sieht aber auch, dass technische Evolution in der Zukunft es ermöglichen, dieser ""verspielte"" Chance wieder aufzuholen. Das Hauptrisiko bei Nicht-Implementierung ist, nicht dass man dies in der Zukunft nicht aufholen könnte, sondern dass einem einfach die Zeit fehlen wird.",Risiko Nicht-Implementierung,Wettbewerb,,,,,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,"Wenn man erst am Schluss solche Konzepte einfach nur integriert und jetzt nichts macht besteht das Risiko, dass man nicht Teil der ""Erkenntnisreise"" ist, man lernt also im Prozess nicht aktiv mit, was zu weiteren Problemen führen könnte.",Risiko Nicht-Implementierung,Wissenslokalisierung,,,,,
12,Chief Operations Officer,Handelsunternehmen,Externe Firma,Demoralisierung durch fehldene Visibilität des Fortschschrittes,Risiko Implementierung,Kulturell,,,,,
2,IT Projektleiter,Detailhandel,Externe Firma,"Bei einer Nicht-Implementation besteht weiterhin das Risiko, dass zwei Kollektive die gleichen Daten einkaufen und man so doppelt bezahlt
da ohne konkretes EDC die Systeme zu fragmentiert und zu sehr isoliert sind.",Risiko Nicht-Implementierung,Wettbewerb,,,,,
2,IT Projektleiter,Detailhandel,Externe Firma,"Wenn man es schafft die einzelnen Verantwortlichkeiten für gewisse Daten zuzuweisen, können die Hidden-Costs von Data-Quality reduziert werden. Da gibt es Studien, die in die Bereiche 10-15% vom Umsatz gehen.",Risiko Nicht-Implementierung,Wettbewerb,,,,,
2,IT Projektleiter,Detailhandel,Externe Firma,"Hohe Kosten, Kosten werden tendenziell unterschätzt. Die Initiierungskosten sind nicht zu unterschätzen. Einerseits muss man sich mal konzeptionell darüber einigen und danach folgen Interviews und Recherchen. Da gehen Stunden, Tage, Monate drauf",Risiko Implementierung,Finanziell,,,,,
2,IT Projektleiter,Detailhandel,Externe Firma,"Wenn man mal anfängt Data Assets zu dokumentieren, muss man aufpassen, dass man die Strategische Relevanz nicht verliert. Ich habe oft gesehen, dass Leute einfach for the sake of it eine 100%-ige Dokumentation erreichen wollen. Es wäre sinnvoller einfach die relevanten Data-Assets zu dokumentieren und diese Data Governance drüberlegen.",Risiko Implementierung,Finanziell,,,,,
2,IT Projektleiter,Detailhandel,Externe Firma,"Es ist sehr tricky eine konstante Balance des Aufwandes und des Ertrages im Hinblick zur Dokumentation der Data-Assets zu finden und da habe ich auch keine schlaue Lösung, wie man das irgendwie monitoren und managen kann.",Risiko Implementierung,Finanziell,,,,,
2,IT Projektleiter,Detailhandel,Externe Firma,"Ja, es ist ein bisschen anders gelagert, da die Gefahr ist, dass man das Datamodell, wenn man es initial aufsetzt, zu nah am Quellsystem aufsetzt und nicht auf diesen Abstraktionslayer kommt. Und wirklich die Fähigkeit, wenn du das Datamodell aufsetzt, sagen wir, ok, das ist jetzt applikationsspezifisch, nein, wir brauchen ein abstrakter Layer, damit wir theoretisch dieses Quellsystem auch mal ersetzen könnten, ohne dass gleich irgendwie uns das ganze Datamodell um die Ohren fliegt. Das ist so die Gefahr da drin. Das ist das Risiko. Weil das Einfachste ist, du bekommst das Datenschema des Quellsystems und machst einfach einen JSON-Beschrieb darüber, dann hast du quasi die Idee vom Datamodell nicht fertig gedacht, oder?",Risiko Implementierung,Strukturell,,,,,
14,Berater,Globale Beratungsfirma,Beratung,"So instead of coming in and saying that we'll develop an entire data catalog, business glossary, data dictionary, we'll set up your entire architecture for you that will be a 10 million euro project, we take a narrow scope and start small.",Risiko Implementierung,Finanziell,,,,,
14,Berater,Globale Beratungsfirma,Beratung,"So it's really about seeing what motivates your stakeholders and figuring out whether or not you are meeting those motivations or satisfying those motivations with the solution that you're proposing. If that is the case, then you can convince them and get their buy-in. But if that is not the case, then getting a buy-in is pretty impossible.",Risiko Implementierung,Kulturell,,,,,
14,Berater,Globale Beratungsfirma,Beratung,"We tackle the implementation in work packages. So instead of coming in and saying that we'll develop an entire data catalog, business glossary, data dictionary, we'll set up your entire architecture for you. It'll be a 10 million euro project, we really take a very narrow scope and say, okay, let's take a credit risk model. Within the credit risk model, let's take the probability of default component.",Risiko Implementierung,Finanziell,,,,,
19,Data Product Owner,Globale Bank,Externe Firma,"Without an EDM, different departments often develop their own data definitions and structures. This leads to conflicting KPIs, redundant data silos, and poor decision-making.",Risiko Nicht-Implementierung,Wissenslokalisierung,,,,,
19,Data Product Owner,Globale Bank,Externe Firma,"Without a central catalog or documented model, it's difficult to know where data originates, how it's transformed, and who is responsible for it.",Risiko Nicht-Implementierung,Wissenslokalisierung,,,,,
19,Data Product Owner,Globale Bank,Externe Firma,"Redundant data handling, rework due to poor understanding, and inefficient troubleshooting all add Hidden Costs to day-to-day operations.",Risiko Nicht-Implementierung,Wettbewerb,,,,,
19,Data Product Owner,Globale Bank,Externe Firma,"In highly regulated industries like banking and finance, failing to demonstrate data lineage and accountability can result in audit findings or even legal consequences.",Risiko Nicht-Implementierung,Wettbewerb,,,,,
19,Data Product Owner,Globale Bank,Externe Firma,"Without centralized documentation, critical knowledge remains in people’s heads – which creates vulnerability when staff leave the organization.",Risiko Nicht-Implementierung,Wissenslokalisierung,,,,,
19,Data Product Owner,Globale Bank,Externe Firma,"Without clear executive support and assigned data stewards, the models risk becoming shelfware – built but unused.",Risiko Implementierung,Finanziell,,,,,
19,Data Product Owner,Globale Bank,Externe Firma,"Especially with EDM, there is a risk of over-engineering the model, making it too abstract or disconnected from operational needs.",Risiko Implementierung,Kulturell,,,,,
19,Data Product Owner,Globale Bank,Externe Firma,"Aligning an EDC with existing tools, metadata repositories, and workflows can be technically and organizationally complex.",Risiko Implementierung,Technisch,,,,,
19,Data Product Owner,Globale Bank,Externe Firma,"Keeping models and catalogs up to date requires ongoing effort – it’s not a one-time project, but a living process.",Risiko Implementierung,Technisch,,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Eine Nicht-Implementierung ist natürlich immer ein Margin-Risiko. Das ist immer ein Profitability-Risiko. Zum Beispiel jetzt dein Wettbewerber in den USA sieht das sehr schön daran, warum Walmart wirklich profitabel ist als andere. Wenn dein Wettbewerber jetzt dort wirklich was verändert und sagt,  ich kann jetzt fresh sehr viel günstiger anbieten oder habe wesentlich weniger Out-of-Stock-Events oder habe wesentlich weniger irgendwelche anderen Probleme, dann kannst du schon Wettbewerbsfaktoren irgendwo einbüssen. Das ist das grösste Problem meiner Meinung nach. Die grösste Motivation könnte sein, dass man die Profitabilität erhöht.",Risiko Nicht-Implementierung,Wettbewerb,,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Du kannst sehr, sehr, sehr viel Geld ausgeben mit irgendwelchen Technologien und genau null oder wenig Impact haben, wenn diese Accountability nicht klar ist. Die Accountability muss klar zugeteilt werden und am besten einem Business-Unit-Head. Dieser hat dann den Auftrag: du musst jetzt hier eine Verbesserung erzielen durch Technik, Data und AI. ",Risiko Implementierung,Finanziell,,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Bei Banken ist es anders zum Beispiel. Da ist die Hemmschwelle, jetzt mal einfach 50 Millionen auf den Tisch zu legen, geringer. Das hat aber oftmals die Konsequenz, dass es nicht bei den 50 Millionen bleibt, sondern dann noch wächst und das dann noch andere Probleme verursacht, andere Komplexitäten.",Risiko Implementierung,Finanziell,,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Und was wir eigentlich oft sehen, dass technische Unternehmen so wie Accenture oder IBM oder so, die machen es andersrum. Die sagen, pass mal auf, wir müssen jetzt diese 50.000 Sensoren irgendwie alle in ein riesen Datenmodell integrieren. Das kostet jetzt 30 Millionen Dollar, ist in drei Jahren fertig und in drei Jahren erzählen sie auch nochmal zwei Jahre. Und in fünf Jahren, hast du zwar irgendein Ding gebaut, aber du hast halt die alten Daten in einem neuen System und das bringt dir erst mal gar nichts. Das heisst, du hast dann auch fünf Jahre verloren.",Risiko Implementierung,Finanziell,,,,,
4,Senior Partner,Globale Beratungsfirma,Beratung,"Du musst Use Case by Use Case rangehen. Der typische IT-Ansatz, der sagt, pass mal auf, wir brauchen 15 Millionen, um unser Datenchaos hier zu verbessern und dann brauchen wir nachher nochmal 20 Millionen, ist nicht glaubwürdig und es ist dann auch schwierig aufzuzeigen, welche Veränderung genau zu der Verbesserung geführt hat.",Risiko Implementierung,Finanziell,,,,,
