NR,Rolle,Firma,Typ,Aussage,Cluster,Beschreibung,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"So there were different business models, but we focus on the one that was constant across nearly all business units and was describing the organization in data.",Step-by-Step Approach,Richtig Priorisieren,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"Most importantly, you need to have a very rigid process for Change-management.",Funktionierendes Change Management,Change-Management,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"So we said these are things that we just need to do, we don't want to discuss too much. So in the case of Collibra, we had a very light touch business case, the same with data quality, etc. We said that we need to have a data foundation, there are some costs associated with it, that's it, we just need to do it.",Step-by-Step Approach,Just-Do-it Mentalität,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"You know, what we're describing here is discipline in the process of governance. That means that I have discipline about the data that I put in my data lake and I understand which data I put in. Even Excel will work but you need to show some discipline in what you're doing and be in control of what you're doing. That cannot be replaced by a tool. So, you might have the best tool, and Collibra is really good, but if you don't have the discipline and the processes in the organization, then that money is definitely wasted. You need to start with the discipline, and then you get the tool. What happens though, is when you start with the discipline, it's really cumbersome.  Because you have all these emails flying around and you don't have a place to pull these things, and everyone is going to different sharepoints, and it becomes a mess before you know it.  So, people get disaffected, and it's even harder than to push for discipline without the tool. The tool itself doesn't solve for discipline. ",Step-by-Step Approach,Disziplinierte Implementierung,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"Implementing an EDC and EDM is akin to building infrastructure. You build roads, you build motorways. And not necessarily everyone agrees or wants them. Whatever, it doesn't matter, but you decide and you do it. So I think that's a bit the role, in my view, of the central team. Like it or not, that's what we're going to do.",Führung und Organisation,Starker Lead,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"At some point, these things need to be a bit pushed. Otherwise, by consent, that will never happen. They don't want the road [Infrastructure Metaphor] in their place, but fine, it doesn't matter, the road needs to come here. It seems a bit harsh, but when you have 80 operating companies, you simply can't have everyone agreeing to that. That's it. That's what we need to do. Indeed it is very difficult, but you also need to accept that not everyone is going to be in agreement. But that's why you need to have the mandate.",Step-by-Step Approach,Just-Do-it Mentalität,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"First of all, it needs to have the conviction. So we need to have an executive committee which is behind of this. So there needs to be the understanding at a very high level that this is infrastructure work and this needs to be done.",Führung und Organisation,Starker Lead,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"There needs to be, of course, an assessment of what the size of the problem is that we have today, and what the size of opportunity is, but without promising any ROI or P&L.",Nutzen von EDM/EDC greifbar machen,Problem und Möglichkeitsanalyse,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"So it needs to be part of the things that we can commit to as an organization and not something that we just do on top.  Because once you've got it, then it's a project, and there is no way of not doing it, because the clock is ticking and we're spending money. So you cannot simply not do it.",Step-by-Step Approach,Disziplinierte Implementierung,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,If you create this strategic goal and you set up a governance of critical strategic projects the last point is to make sure that the local leadership is also involved in the understanding of why we're doing it.,Stakeholder-Alignement,Alle Stakeholder integrieren,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"So having a one-on-one and having a sort of relationship with the managing directors is super important. Because in the scheme of things, these are small things, but they can create such a big problem.",Stakeholder-Alignement,Alle Stakeholder integrieren,,,,
1,Chief Data Officer,Globaler Brauereikonzern,Collibra Success Story,"So whenever you have an enormous amount of data then you need to have that discipline in place. Otherwise, it's like almost impossible to run your operations.",Step-by-Step Approach,Disziplinierte Implementierung,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"So I spent a little over two and a half years taking it through our process, working with our stewards and owners, ensuring that I can explain their roles and responsibilities and what it does for them. Why should they be investing their time on something that purely looks technical and theoretical? But why is it important for them?",Kommunikation und Mitarbeiterschulung,Aufklärungsarbeit/Schulung von Mitarbeitern,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"So when the business users are using a report and that report gives them ability to make decisions, they should be in a position to know what is the data that they're basing their results on. I feel like, as a data governance team or data management team, we are responsible to make it as transparent to them as possible. And I found Collibra to be one great way to achieve that.",Kommunikation und Mitarbeiterschulung,Transparenz im Prozess schaffen,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,So this doesn't work without the support and alignment from the top management. So it really requires setting up the data board. And that data board really requires a C-suite office so that they can actually have their departments follow the process.,Führung und Organisation,Starker Lead,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"At the highest level we need a data board or some kind of a governing committee that oversees the data management aspect of it. And they need to be first sold as to why we are doing it. And the reason I was explaining to you was that you want to ensure that your key decision makers have the ability to do that without worrying about the quality of the data, whether their decisions are solid or not.",Führung und Organisation,Starker Lead,,,,
10,Data Executive,Versicherungsfirma,Collibra Success Story,"And once the buy-in from the senior management is established, it is basically agreed that this is something that the enterprise needs to do.",Step-by-Step Approach,Just-Do-it Mentalität,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Man sollte nie einen Katalog, ohne mir vorher genau zu überlegen, was das Problem das ich lösen will, ist? Wo genau die Leute die diesen Benefit dann haben, sind? Und was der erwartete Outcome ist? Auf dieser Ebene scheitern schon ganz viele Unternehmen.",Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Vor der Implementation muss man erstens die Use Cases ganz klar herausarbeiten und das Buy-In von denen, die beglückt werden sollen, abholen.",Use Case zentrierte Implementation,Use Cases herausarbeiten,,,,
11,Experte,Collibra,EDM / EDC Anbieter,"Vor der Implementation muss man dann diese Use Cases auch so herausarbeiten, dass der Benefit klar wird.",Nutzen von EDM/EDC greifbar machen,Verständnis EDM/EDC fördern,,,,
